<YJB/	sad
<Z===/	strong
<ZWZ=/	powerful
>BJR/	strong
>BJR=/	strong
>BL===/	mourning
>CM=/	guilty
>DJR/	mighty
>GM=/	grieved
>JM/	frightful
>JMTNJ/	terrible
>KZR/	cruel
>KZRJ/	cruel
>MJY/	strong
>PJQ=/	strong
>WJL/	foolish
>WLJ/	awkward
BLH/	worn out
C<RWR/	horrible
C<RWRJ/	horrible
C>NN/	at ease
CLH/	carefree
CLJV/	mighty
DK/	oppressed
DWH/	unwell
DWJ=/	ill
FGJ>/	exalted
FMX/	joyful
G>/	haughty
G>H/	haughty
J<P/	weary
JG</	weary
JGJ<=/	weary
JGWR/	fearing
JHJR/	haughty
JR>/	afraid
KSJL/	insolent
MGN=/	insolent
MR/	bitter
MRD=/	rebellious
MRJRJ/	bitter
MRR/	bitter
MZH/	hungry
N<JM/	pleasant
N>WH/	lovely
NBL/	stupid
NDJB/	willing
NQJ/	innocent
PSX=/	lame
PTLTL/	queer
QCB=/	attentive
QCB==/	attentive
QN>/	jealous
QNW>/	jealous
R<B=/	hungry
RC</	guilty
RGZ=/	excited
RXMNJ/	compassionate
RXWM/	compassionate
S<P/	despicable
SKL/	foolish
SLX/	forgiving
SMR/	bristly
SR/	sullen
SRB/	obstinate
TQJP/	mighty
TQJP/	strong
WZR/	guilty
XNP/	alienated
XNWN/	gracious
XPY=/	delighting
XRD/	trembling
XSJD/	loyal
XSN/	strong
XT=/	terror-filled
XZQ/	strong
XZQ==/	strong
YM>/	thirsty
YNW</	humble
Z<P=/	raging
ZD/	insolent
