lexeme	group	size	has?	book	chapter	verse
<BD/	42	11	+	Reges_II	21	10
<BD/	42	11	-	Ezechiel	24	1
<BD/	42	11	-	Ezechiel	26	1
<BD/	42	11	-	Ezechiel	29	1
<BD/	42	11	-	Ezechiel	29	17
<BD/	42	11	-	Ezechiel	30	20
<BD/	42	11	-	Ezechiel	31	1
<BD/	42	11	-	Ezechiel	32	1
<BD/	42	11	-	Ezechiel	32	17
<BD/	42	11	-	Haggai	1	3
<BD/	42	11	-	Haggai	2	1
<BD/	83	2	+	Reges_II	25	8
<BD/	83	2	-	Jeremia	52	12
<BD/	176	2	+	Jesaia	37	24
<BD/	176	2	-	Reges_II	19	23
<BD/	237	2	+	Reges_II	25	24
<BD/	237	2	-	Jeremia	40	9
<BD/	456	7	+	Leviticus	25	55
<BD/	456	7	-	Exodus	29	46
<BD/	456	7	-	Leviticus	11	45
<BD/	456	7	-	Leviticus	19	36
<BD/	456	7	-	Leviticus	22	33
<BD/	456	7	-	Leviticus	25	38
<BD/	456	7	-	Numeri	15	41
<BD/	516	2	+	Psalmi	18	1
<BD/	516	2	-	Samuel_II	22	1
<BD/	559	2	+	Josua	1	15
<BD/	559	2	-	Deuteronomium	3	20
<BD/	611	2	+	Chronica_II	9	21
<BD/	611	2	-	Reges_I	10	22
<BD/	715	2	+	Reges_II	8	19
<BD/	715	2	-	Chronica_II	21	7
<BD/	717	2	+	Jeremia	37	2
<BD/	717	2	-	Jeremia	50	1
<BD/	765	2	+	Samuel_I	21	12
<BD/	765	2	-	Samuel_I	29	5
<BD/	1133	2	+	Genesis	42	13
<BD/	1133	2	-	Genesis	42	32
<BD/	1158	2	+	Jeremia	46	28
<BD/	1158	2	-	Jeremia	30	11
<BDH/	35	12	+	Exodus	39	32
<BDH/	35	12	+	Exodus	39	42
<BDH/	35	12	-	Exodus	7	6
<BDH/	35	12	-	Exodus	12	28
<BDH/	35	12	-	Exodus	12	50
<BDH/	35	12	-	Exodus	40	16
<BDH/	35	12	-	Numeri	1	54
<BDH/	35	12	-	Numeri	8	20
<BDH/	35	12	-	Numeri	17	26
<BDH/	35	12	-	Numeri	30	1
<BDH/	35	12	-	Numeri	36	10
<BDH/	35	12	-	Josua	14	5
<BDH/	143	8	+	Numeri	4	23
<BDH/	143	8	+	Numeri	4	30
<BDH/	143	8	+	Numeri	4	35
<BDH/	143	8	+	Numeri	4	39
<BDH/	143	8	+	Numeri	4	43
<BDH/	143	8	+	Numeri	4	47
<BDH/	143	8	+	Numeri	8	24
<BDH/	143	8	-	Numeri	4	3
<BDH/	985	2	+	Exodus	27	19
<BDH/	985	2	-	Exodus	38	20
<BDJH/	1001	2	+	Obadia	1	1
<BDJH/	1001	2	-	Jeremia	49	14
<BDWN/	913	2	+	Chronica_II	34	20
<BDWN/	913	2	-	Reges_II	22	12
<BD[	143	8	+	Numeri	4	23
<BD[	143	8	+	Numeri	4	30
<BD[	143	8	+	Numeri	4	47
<BD[	143	8	-	Numeri	4	3
<BD[	143	8	-	Numeri	4	35
<BD[	143	8	-	Numeri	4	39
<BD[	143	8	-	Numeri	4	43
<BD[	143	8	-	Numeri	8	24
<BD[	335	2	+	Reges_II	17	12
<BD[	335	2	-	Jesaia	38	7
<BD[	520	2	+	Reges_I	9	21
<BD[	520	2	-	Chronica_II	8	8
<BD[	538	2	+	Numeri	4	26
<BD[	538	2	-	Numeri	3	26
<BD[	1226	2	+	Reges_I	12	7
<BD[	1226	2	-	Chronica_II	10	7
<BD_>DWM/	136	2	+	Chronica_II	25	24
<BD_>DWM/	136	2	-	Reges_II	14	14
<BJ/	265	2	+	Chronica_II	4	17
<BJ/	265	2	-	Reges_I	7	46
<BR/	233	2	+	Samuel_I	31	7
<BR/	233	2	-	Chronica_I	10	7
<BR=/	553	9	+	Genesis	11	14
