clnode,chapter,verse,subj_n,subj,obj_n,obj,obj_n2,obj2,cmpl_n,cmpl,cmpl_n2,cmpl2
489113,1,1,_,_,_,_,_,_,788902,B_<YT_RC<JM,_,_
489114,1,1,_,_,_,_,_,_,788904,B_DRK_XV>JM,_,_
489115,1,1,_,_,_,_,_,_,788908,B_MWCB_LYJM,_,_
489116,1,2,788913,XPYW,_,_,_,_,_,_,_,_
489117,1,2,_,_,_,_,_,_,788915,B_TWRTW,_,_
489119,1,3,_,_,_,_,_,_,788922,<L_PLGJ_MJM,_,_
489120,1,3,_,_,788924,PRJW,_,_,_,_,_,_
489121,1,3,788928,<LHW,_,_,_,_,_,_,_,_
489122,1,3,788932,KL,_,_,_,_,_,_,_,_
489124,1,4,788938,H_RC<JM,_,_,_,_,_,_,_,_
489126,1,4,788943,RWX,_,_,_,_,_,_,_,_
489127,1,5,788947,RC<JM,_,_,_,_,_,_,_,_
489128,1,5,788950,XV>JM,_,_,_,_,_,_,_,_
489129,1,6,788954,JHWH,788955,DRK_YDJQJM,_,_,_,_,_,_
489130,1,6,788957,DRK_RC<JM,_,_,_,_,_,_,_,_
489131,2,1,788961,GWJM,_,_,_,_,_,_,_,_
489132,2,1,788963,L>MJM,788965,RJQ,_,_,_,_,_,_
489133,2,2,788967,MLKJ_>RY,_,_,_,_,_,_,_,_
489134,2,2,788969,RWZNJM,_,_,_,_,788972,<L_JHWH_W_<L_MCJXW,_,_
489135,2,3,_,_,788974,>T_MWSRWTJMW,_,_,_,_,_,_
489136,2,3,_,_,788978,<BTJMW,_,_,788977,MMNW,_,_
489139,2,4,788982,>DNJ,_,_,_,_,788984,LMW,_,_
489140,2,5,_,_,_,_,_,_,788987,>LJMW,_,_
489142,2,6,788993,>NJ,788995,MLKJ,_,_,_,_,_,_
489143,2,7,_,_,_,_,_,_,788998,>L_XQ_JHWH,_,_
489144,2,7,_,_,_,_,_,_,789000,>LJ,_,_
489145,2,7,789002,>TH,_,_,_,_,_,_,_,_
489146,2,7,789003,>NJ,_,_,_,_,_,_,_,_
489147,2,8,_,_,_,_,_,_,789007,MMNJ,_,_
489148,2,8,_,_,789010,GWJM,789011,NXLTK,_,_,_,_
489149,2,8,_,_,789013,>XZTK,789014,>PSJ_>RY,_,_,_,_
489150,2,9,_,_,_,_,_,_,789016,B_CBV_BRZL,_,_
489157,2,11,_,_,789026,>T_JHWH,_,_,_,_,_,_
489159,2,12,_,_,789032,BR,_,_,_,_,_,_
489162,2,12,789041,>PW,_,_,_,_,_,_,_,_
489164,2,12,_,_,_,_,_,_,789044,BW,_,_
489166,3,1,_,_,_,_,_,_,789047,M_PNJ_>BCLWM_BNW,_,_
489168,3,2,789051,YRJ,_,_,_,_,_,_,_,_
489169,3,2,789052,RBJM,_,_,_,_,789054,<LJ,_,_
489170,3,3,789055,RBJM,_,_,_,_,789057,L_NPCJ,_,_
489171,3,3,_,_,_,_,_,_,789060,LW,_,_
489173,3,4,789064,>TH,_,_,_,_,789067,B<DJ,_,_
489176,3,4,_,_,789071,R>CJ,_,_,_,_,_,_
489177,3,5,_,_,_,_,_,_,789073,>L_JHWH,_,_
489180,3,6,789079,>NJ,_,_,_,_,_,_,_,_
489183,3,6,789085,JHWH,_,_,_,_,_,_,_,_
489184,3,7,_,_,_,_,_,_,789089,M_RBBWT_<M,_,_
489185,3,7,_,_,_,_,_,_,789093,<LJ,_,_
489190,3,8,_,_,789100,>T_KL_>JBJ,_,_,789101,LXJ,_,_
489191,3,8,_,_,789102,CNJ_RC<JM,_,_,_,_,_,_
489192,3,9,789105,H_JCW<H,_,_,_,_,_,_,_,_
489193,3,9,789107,BRKTK,_,_,_,_,_,_,_,_
489201,4,2,_,_,_,_,_,_,789117,LJ,_,_
489203,4,2,_,_,789121,TPLTJ,_,_,_,_,_,_
489205,4,3,789124,KBWDJ,_,_,_,_,_,_,_,_
