"state","fips","county","csa","population","households"
"or","001950100","Baker","None",2725,1225
"or","001950200","Baker","None",3179,1322
"or","001950300","Baker","None",2395,1162
"or","001950400","Baker","None",2975,1397
"or","001950500","Baker","None",2969,1117
"or","001950600","Baker","None",1812,897
"or","003000100","Benton","None",7618,2977
"or","003000202","Benton","None",4885,2236
"or","003000400","Benton","None",7734,3231
"or","003000500","Benton","None",3233,1322
"or","003000600","Benton","None",5011,2061
"or","003000900","Benton","None",5701,2287
"or","003001001","Benton","None",4370,1801
"or","003001002","Benton","None",3081,1207
"or","003001101","Benton","None",3544,1153
"or","003001102","Benton","None",4401,1825
"or","003010100","Benton","None",8220,3144
"or","003010200","Benton","None",4197,1599
"or","003010300","Benton","None",3162,1336
"or","003010400","Benton","None",4414,1622
"or","003010600","Benton","None",5129,1815
"or","003010702","Benton","None",3287,711
"or","003010800","Benton","None",3588,1237
"or","003010900","Benton","None",4414,1820
"or","005020100","Clackamas","Portland",3701,1620
"or","005020200","Clackamas","Portland",6139,2726
"or","005020302","Clackamas","Portland",3766,1597
"or","005020303","Clackamas","Portland",5176,2601
"or","005020304","Clackamas","Portland",6000,2267
"or","005020401","Clackamas","Portland",4794,2050
"or","005020403","Clackamas","Portland",3475,1270
"or","005020404","Clackamas","Portland",3814,1559
"or","005020501","Clackamas","Portland",6935,2738
"or","005020503","Clackamas","Portland",2125,916
"or","005020504","Clackamas","Portland",6423,2614
"or","005020505","Clackamas","Portland",2846,1273
"or","005020600","Clackamas","Portland",8050,2872
"or","005020700","Clackamas","Portland",3778,1454
"or","005020800","Clackamas","Portland",4383,1990
"or","005020900","Clackamas","Portland",3593,1680
"or","005021000","Clackamas","Portland",4461,1886
"or","005021100","Clackamas","Portland",5952,2198
"or","005021200","Clackamas","Portland",3998,1873
"or","005021300","Clackamas","Portland",6298,2309
"or","005021400","Clackamas","Portland",4790,1940
"or","005021500","Clackamas","Portland",4792,2062
"or","005021601","Clackamas","Portland",5523,2228
"or","005021602","Clackamas","Portland",5051,1879
"or","005021700","Clackamas","Portland",6103,2626
"or","005021801","Clackamas","Portland",5232,2091
"or","005021802","Clackamas","Portland",4253,1737
"or","005021900","Clackamas","Portland",3819,1479
"or","005022000","Clackamas","Portland",6658,2538
"or","005022101","Clackamas","Portland",7282,2617
"or","005022103","Clackamas","Portland",6799,2286
"or","005022105","Clackamas","Portland",6008,2220
"or","005022107","Clackamas","Portland",3709,1534
"or","005022108","Clackamas","Portland",2986,1198
"or","005022201","Clackamas","Portland",4831,2246
"or","005022205","Clackamas","Portland",3286,1151
"or","005022206","Clackamas","Portland",6467,2365
"or","005022207","Clackamas","Portland",5155,1672
"or","005022208","Clackamas","Portland",6470,1907
"or","005022301","Clackamas","Portland",3751,1457
"or","005022302","Clackamas","Portland",5346,1903
"or","005022400","Clackamas","Portland",4187,1741
"or","005022500","Clackamas","Portland",7824,3061
"or","005022602","Clackamas","Portland",3789,1458
"or","005022603","Clackamas","Portland",3155,1149
"or","005022605","Clackamas","Portland",7636,2753
"or","005022606","Clackamas","Portland",4438,1615
"or","005022702","Clackamas","Portland",7413,2579
