"total","0k","10k","15k","20k","25k","30k","35k","40k","45k","50k","60k","75k","100k","125k","150k","200k"
1225,113,60,42,87,50,27,48,90,77,86,183,94,132,86,24,26
1322,119,162,93,81,91,15,27,72,43,139,113,160,56,106,22,23
1162,107,69,107,116,60,127,44,88,92,129,86,94,4,8,5,26
1397,168,188,89,98,84,89,51,58,83,107,146,140,34,24,24,14
1117,70,131,93,73,66,60,76,89,112,107,90,93,29,3,0,25
897,75,81,70,69,67,56,47,71,72,47,99,53,46,27,6,11
2977,299,181,163,198,91,144,292,199,106,213,225,501,205,68,51,41
2236,277,55,132,95,86,187,62,116,102,88,267,147,236,163,100,123
3231,241,117,153,143,127,109,98,62,85,96,335,458,427,305,244,231
1322,70,33,16,44,18,61,35,27,46,98,170,135,220,74,131,144
2061,257,77,208,219,216,174,135,106,53,173,170,157,51,40,15,10
2287,199,20,140,74,130,59,157,156,26,121,112,328,201,106,293,165
1801,265,149,126,163,149,165,49,105,76,91,80,152,110,31,61,29
1207,131,31,128,30,73,91,35,29,29,144,139,167,68,68,11,33
1153,464,199,105,132,53,14,21,12,40,57,42,7,0,0,0,7
1825,637,245,216,111,97,29,56,80,23,29,58,136,75,33,0,0
3144,64,23,14,65,63,70,47,203,207,322,431,545,463,357,145,125
1599,50,46,53,43,64,97,63,81,20,129,141,334,146,146,144,42
1336,68,110,54,83,81,83,92,66,81,96,94,185,133,31,13,66
1622,81,99,204,145,125,55,81,36,56,96,166,191,163,19,54,51
1815,708,147,156,131,56,65,108,72,28,41,100,63,57,19,19,45
711,133,133,32,85,12,9,39,28,18,39,32,70,18,26,29,8
1237,85,30,55,44,64,46,88,74,82,151,151,155,155,14,20,23
1820,94,30,79,77,44,63,62,72,56,192,173,268,192,169,150,99
1620,90,18,112,79,44,88,0,18,27,86,99,260,103,104,120,372
2726,78,144,48,110,87,129,180,99,97,153,267,260,184,32,294,564
1597,53,53,48,35,21,83,40,157,26,130,183,227,154,135,158,94
2601,193,10,110,177,73,174,92,69,134,225,159,417,235,140,159,234
2267,94,29,14,51,111,42,10,97,0,256,186,382,165,226,273,331
2050,108,4,128,25,177,70,75,165,76,158,290,173,118,161,175,147
1270,32,0,0,0,0,15,29,35,17,34,94,129,120,169,154,442
1559,56,0,15,38,20,26,43,67,37,78,105,276,136,127,238,297
2738,121,49,76,90,67,51,115,29,135,118,223,529,209,170,401,355
916,35,26,16,53,29,24,27,17,12,44,58,84,91,101,129,170
2614,80,60,31,36,73,90,104,87,78,162,306,329,388,174,379,237
1273,72,27,54,65,26,46,47,28,31,157,123,172,57,121,95,152
2872,83,41,31,86,134,104,92,140,40,219,264,364,294,348,396,236
1454,93,25,56,66,81,35,48,55,62,102,76,197,153,78,163,164
1990,158,150,74,83,134,86,90,107,60,210,347,228,122,47,83,11
1680,100,212,60,118,63,91,111,167,81,96,137,256,77,43,58,10
1886,101,100,168,92,63,158,81,63,92,181,254,388,50,38,57,0
2198,90,47,176,82,59,92,145,143,113,127,334,415,121,72,136,46
1873,188,141,113,145,123,139,109,197,32,117,188,116,153,95,17,0
2309,156,47,96,65,0,138,42,228,70,284,295,354,184,121,143,86
1940,80,61,97,152,50,105,63,161,121,103,142,342,239,79,94,51
2062,105,77,103,101,102,97,45,83,38,119,330,333,214,152,151,12
2228,166,231,148,94,109,190,211,164,156,183,250,92,144,81,0,9
1879,49,126,112,137,33,120,74,103,110,183,251,273,187,90,21,10
2626,116,132,186,182,125,134,195,110,170,305,275,255,203,48,58,132
2091,118,41,38,70,55,87,59,14,166,38,286,444,287,162,144,82
1737,124,160,130,84,124,82,42,100,98,197,203,166,167,32,19,9
1479,61,73,96,117,65,45,105,100,124,179,153,135,154,59,13,0
2538,128,99,128,105,47,86,104,112,98,221,391,421,283,114,149,52
2617,207,139,88,155,118,79,56,110,185,282,238,457,289,79,93,42
2286,61,10,145,61,26,84,45,110,107,311,345,345,410,65,95,66
2220,42,58,56,50,63,84,102,143,108,118,216,314,286,162,264,154
1534,56,78,119,46,118,150,66,53,115,239,122,181,141,8,0,42
1198,199,126,44,90,68,166,124,65,21,16,94,102,51,32,0,0
2246,277,124,126,134,363,262,96,240,132,169,98,142,52,20,0,11
1151,7,19,0,0,25,34,31,28,50,49,47,296,307,79,104,75
2365,54,131,20,69,52,107,47,19,72,316,381,222,323,112,272,168
1672,17,0,26,15,0,13,50,54,11,148,123,263,298,169,274,211
1907,39,65,16,19,78,24,23,110,30,103,176,395,251,196,165,217
1457,93,92,56,85,27,9,98,25,20,104,165,186,186,199,73,39
1903,115,35,74,96,69,49,145,74,108,96,149,475,99,118,120,81
1741,93,105,64,70,91,140,77,104,75,155,274,250,134,43,20,46
3061,426,107,204,104,189,137,51,117,147,303,288,562,204,96,63,63
1458,25,83,25,17,28,25,39,60,48,115,235,344,147,130,101,36
1149,38,92,62,60,7,78,72,58,42,52,131,160,116,132,27,22
2753,85,0,71,161,76,98,295,192,239,245,480,310,207,153,91,50
1615,52,83,58,17,55,69,44,102,50,112,166,286,235,167,98,21
2579,92,0,61,94,96,104,80,41,33,126,104,362,322,263,274,527
1764,163,137,47,106,44,11,29,89,34,194,175,115,236,143,141,100
1517,105,49,6,34,54,83,70,89,18,69,110,246,158,107,110,209
1158,156,0,99,0,36,99,106,33,13,204,84,101,79,36,65,47
1936,64,51,72,123,57,125,34,110,141,167,211,179,256,126,145,75
1149,24,41,17,39,70,61,32,116,23,89,116,147,125,79,92,78
1209,77,29,127,45,44,45,79,8,44,195,130,205,89,29,63,0
1436,15,32,49,81,47,49,76,92,52,119,166,318,144,51,77,68
1091,82,81,81,50,84,57,49,44,34,140,105,113,104,44,23,0
1360,22,0,104,230,86,27,94,8,103,78,214,174,135,62,15,8
1148,41,49,21,34,31,16,47,17,61,67,133,236,149,56,88,102
1284,94,20,55,91,25,83,66,28,50,51,120,168,165,86,130,52
2197,76,61,73,53,130,15,65,85,86,204,152,416,285,251,123,122
1564,28,29,20,51,37,52,9,59,49,190,170,301,250,139,130,50
2194,10,39,30,145,108,52,20,120,19,130,292,302,330,139,240,218
1747,71,8,82,76,94,18,72,79,8,116,160,378,250,161,101,73
1653,50,101,107,70,107,135,141,25,67,105,178,193,159,128,49,38
1811,24,38,73,56,94,144,87,70,105,204,252,377,138,89,22,38
2263,29,65,92,103,203,121,133,97,183,124,377,283,167,228,43,15
1992,151,82,85,11,95,75,154,79,88,150,241,337,164,101,156,23
1477,76,18,45,79,60,46,33,34,99,106,139,239,192,140,117,54
1659,30,75,83,23,64,108,65,44,105,147,217,243,162,146,106,41
2331,35,0,92,44,284,61,188,116,102,195,274,412,250,78,127,73
2111,124,84,56,84,91,180,128,139,66,266,171,358,158,107,68,31
