"total","0m","5m","10m","15m","20m","25m","30m","35m","40m","45m","60m","90m"
1094,109,62,144,267,254,59,44,12,37,46,50,10
1122,271,297,341,87,26,18,51,0,0,14,6,11
886,58,268,372,23,95,5,37,0,0,8,2,18
1001,138,467,198,39,26,0,88,0,13,13,0,19
1054,83,559,132,99,82,5,29,1,7,0,17,40
639,114,111,66,101,62,54,75,0,0,21,29,6
3582,35,539,895,1124,296,118,138,10,33,102,205,87
1932,36,312,586,477,188,70,101,15,14,60,42,31
3270,188,681,883,616,284,130,142,42,45,130,79,50
1096,57,160,260,277,171,45,42,15,0,46,16,7
2109,49,363,670,371,218,94,109,17,14,111,33,60
2827,42,628,1231,421,98,62,110,11,75,75,49,25
2104,74,486,674,210,294,33,192,25,20,43,44,9
1491,71,380,514,242,90,21,102,0,33,16,14,8
1472,44,499,406,281,65,18,66,30,9,15,0,39
1760,23,324,515,332,167,114,62,0,18,33,130,42
3454,59,417,459,1006,736,189,166,119,77,69,71,86
1748,19,106,215,307,393,245,207,74,33,57,74,18
1201,31,140,94,123,222,98,190,67,43,86,50,57
1502,106,111,154,139,131,93,299,60,109,202,92,6
1763,47,507,622,212,152,26,45,14,2,113,23,0
895,38,239,318,125,27,18,20,16,6,52,27,9
1541,71,108,251,474,226,71,89,19,8,96,56,72
2090,57,300,469,619,216,67,149,18,54,85,42,14
1519,25,180,129,324,370,175,207,16,11,45,37,0
2561,116,313,260,306,519,147,602,63,30,141,10,54
1613,124,234,271,256,238,42,198,27,18,141,47,17
2396,55,326,364,298,334,361,440,20,49,93,39,17
2618,82,287,425,200,518,329,273,73,236,91,74,30
1950,65,208,337,275,441,215,169,96,15,82,21,26
1345,21,29,218,195,218,178,219,111,24,39,67,26
1213,58,132,165,213,175,145,151,48,27,87,12,0
2883,43,202,280,785,332,299,378,173,112,198,62,19
913,6,29,84,178,187,96,183,13,59,65,4,9
2833,26,226,387,396,444,343,567,65,184,133,39,23
919,53,39,46,156,155,125,176,44,62,42,0,21
3516,119,260,448,365,643,310,689,173,281,154,55,19
1541,63,98,159,313,316,80,196,82,94,60,37,43
2106,70,264,310,284,325,254,320,10,95,76,54,44
1590,22,131,163,324,213,123,304,54,84,151,9,12
2085,109,116,284,311,384,214,321,46,59,92,109,40
2425,35,297,379,395,384,174,475,47,22,187,30,0
1108,31,107,89,124,234,110,214,43,9,40,68,39
2773,98,111,403,359,455,234,632,87,118,83,130,63
2223,22,291,217,188,527,275,388,34,141,85,26,29
2131,10,385,259,133,395,162,243,181,61,254,39,9
2396,85,176,283,421,251,243,440,20,98,111,214,54
2418,61,370,170,326,311,300,454,38,150,95,119,24
2446,10,128,198,355,255,371,565,67,60,243,155,39
2301,40,182,481,224,267,202,440,87,111,159,44,64
1769,92,150,127,258,214,206,290,97,113,101,91,30
1686,45,74,255,193,313,169,194,130,116,106,52,39
2946,104,155,280,514,367,280,687,80,140,196,118,25
3029,23,366,326,365,559,253,560,143,61,220,133,20
3259,60,299,470,438,371,251,659,84,217,279,121,10
3106,59,279,486,370,371,246,585,89,251,173,73,124
1961,0,349,180,295,455,53,72,19,86,197,155,100
1130,0,185,218,59,149,158,116,7,0,55,61,122
2321,10,242,313,502,220,262,419,50,70,132,101,0
1630,83,82,130,186,297,242,260,110,99,65,9,67
3033,208,239,268,335,606,153,666,85,93,216,128,36
2304,16,155,314,347,357,188,463,86,184,103,45,46
2398,3,221,470,168,364,211,363,162,131,179,110,16
1551,18,48,280,56,248,126,346,78,98,184,69,0
2090,36,77,228,235,308,231,545,17,29,206,162,16
1996,56,254,220,283,268,98,363,75,120,120,84,55
3045,146,377,327,277,508,213,564,158,98,264,55,58
1666,18,152,281,227,214,174,222,32,109,169,61,7
1418,0,103,187,66,190,146,309,67,61,245,24,20
3146,219,279,466,359,305,151,460,105,195,378,102,127
