"total","car","public_trans","bus","subway","railroad","ferry","bike","walk","taxi","work_at_home"
1242,984,0,0,0,0,0,8,62,40,148
1199,1036,0,0,0,0,0,34,38,14,77
999,849,0,0,0,0,0,21,16,0,113
1035,954,0,0,0,0,0,4,43,0,34
1123,938,0,0,0,0,0,40,55,21,69
719,572,10,10,0,0,0,4,44,9,80
3932,2971,148,148,0,0,0,396,26,41,350
2042,1687,0,0,0,0,0,175,70,0,110
3559,2920,49,49,0,0,0,231,56,14,289
1275,943,40,40,0,0,0,36,31,46,179
2178,1900,52,52,0,0,0,95,50,12,69
2949,1967,36,36,0,0,0,474,332,18,122
2186,1283,157,157,0,0,0,307,326,31,82
1631,981,31,31,0,0,0,298,179,2,140
1588,705,75,75,0,0,0,273,402,17,116
1875,724,12,12,0,0,0,372,640,12,115
3743,3335,0,0,0,0,0,24,38,57,289
1976,1654,2,2,0,0,0,25,37,30,228
1340,1138,0,0,0,0,0,11,36,16,139
1741,1405,10,10,0,0,0,1,86,0,239
1938,815,12,12,0,0,0,291,645,0,175
1028,400,41,41,0,0,0,157,288,9,133
1706,1308,144,144,0,0,0,15,64,10,165
2295,1821,105,105,0,0,0,94,65,5,205
1699,1373,83,83,0,0,0,30,27,6,180
2807,2255,122,111,0,11,0,0,144,40,246
1915,1483,53,53,0,0,0,8,54,15,302
2680,2164,190,190,0,0,0,0,19,23,284
2846,2420,155,155,0,0,0,0,15,28,228
2198,1886,32,32,0,0,0,2,30,0,248
1598,1288,18,18,0,0,0,0,30,9,253
1607,1139,48,48,0,0,0,17,9,0,394
3190,2804,0,0,0,0,0,16,34,29,307
1058,905,5,0,5,0,0,0,0,3,145
3212,2729,61,61,0,0,0,30,13,0,379
1070,865,12,12,0,0,0,18,24,0,151
3871,3377,48,48,0,0,0,0,89,2,355
1811,1452,37,37,0,0,0,0,18,34,270
2193,1876,134,134,0,0,0,0,83,13,87
1751,1353,95,95,0,0,0,23,86,33,161
2172,1937,97,97,0,0,0,4,24,23,87
2533,2121,47,36,11,0,0,40,50,167,108
1131,1061,24,24,0,0,0,0,11,12,23
2848,2570,91,91,0,0,0,0,80,32,75
2364,2039,60,60,0,0,0,64,32,28,141
2359,1915,173,173,0,0,0,0,43,0,228
2497,2116,162,89,0,32,0,39,62,17,101
2550,2102,211,199,12,0,0,0,105,0,132
2524,2157,167,150,0,0,0,24,10,88,78
2478,2169,87,75,12,0,0,11,34,0,177
1976,1580,68,68,0,0,0,0,105,16,207
1741,1522,93,76,0,9,0,0,54,17,55
3026,2840,48,48,0,0,0,0,44,14,80
3181,2763,151,138,0,13,0,24,83,8,152
3426,3111,23,23,0,0,0,0,55,70,167
3261,2918,64,14,50,0,0,0,47,77,155
2102,1786,147,30,103,14,0,0,20,8,141
1130,997,40,40,0,0,0,0,93,0,0
2349,2011,189,132,20,0,0,35,86,0,28
1693,1589,13,13,0,0,0,0,8,20,63
3270,2865,129,71,25,17,0,11,28,0,237
2441,2213,38,0,38,0,0,0,23,30,137
2655,2289,56,21,0,35,0,26,16,11,257
1812,1406,77,26,0,0,0,50,18,0,261
2391,2017,20,20,0,0,0,0,0,53,301
2132,1762,177,155,0,9,0,10,23,24,136
3250,2784,90,90,0,0,0,25,104,42,205
1801,1604,26,18,0,8,0,0,27,9,135
1432,1356,0,0,0,0,0,0,52,10,14
3284,2768,178,178,0,0,0,0,187,13,138
1898,1538,12,12,0,0,0,15,12,0,321
3268,2555,63,45,0,18,0,0,79,23,548
1922,1658,55,7,0,48,0,0,26,6,177
2183,1621,27,18,0,9,0,0,139,39,357
1365,1177,34,34,0,0,0,0,86,0,68
1401,1092,28,28,0,0,0,0,21,1,259
1463,1317,24,7,0,17,0,0,38,8,76
1572,1411,118,118,0,0,0,0,16,12,15
1523,1432,33,26,0,7,0,0,14,23,21
1267,1160,8,8,0,0,0,0,63,0,36
1808,1638,17,17,0,0,0,0,49,0,104
1441,1310,26,12,0,0,0,0,0,21,84
1575,1445,0,0,0,0,0,0,0,15,115
2969,2737,17,11,0,6,0,0,16,0,199
2014,1721,43,0,43,0,0,29,12,6,203
3452,3104,14,0,0,14,0,7,9,50,268
2180,1838,0,0,0,0,0,0,40,17,285
1582,1350,0,0,0,0,0,0,25,7,200
2199,1972,75,58,0,17,0,0,22,17,113
2690,2559,20,13,7,0,0,0,34,11,66
2178,1902,36,0,0,0,0,0,50,4,186
1995,1511,36,36,0,0,0,0,43,0,405
2307,1996,7,0,0,7,0,0,52,11,241
2949,2490,0,0,0,0,0,0,183,0,276
2279,2070,28,3,0,25,0,0,51,0,130
1898,1774,0,0,0,0,0,0,18,32,74
1268,1123,0,0,0,0,0,0,27,0,118
1992,1776,0,0,0,0,0,17,8,54,137
2473,2116,33,23,0,10,0,0,96,5,223
2245,2108,8,8,0,0,0,0,0,29,100
1537,1346,22,22,0,0,0,9,29,0,131
847,716,14,14,0,0,0,0,3,23,91
3252,2863,45,45,0,0,0,0,49,52,243
161,36,2,2,0,0,0,0,29,0,94
1472,1272,1,1,0,0,0,12,109,35,43
1527,1193,30,30,0,0,0,26,168,18,92
1441,1221,107,107,0,0,0,18,14,21,60
1903,1750,1,1,0,0,0,16,9,14,113
2062,1801,0,0,0,0,0,0,71,14,176
1147,1092,0,0,0,0,0,0,36,10,9
894,825,6,6,0,0,0,0,14,3,46
1945,1324,30,30,0,0,0,24,328,34,205
1802,1341,15,15,0,0,0,13,280,0,153
1413,1162,4,4,0,0,0,0,70,0,177
1164,1104,0,0,0,0,0,0,25,12,23
2199,2005,0,0,0,0,0,0,114,3,77
1618,1396,0,0,0,0,0,0,54,20,148
