"total","5am","5:30am","6am","6:30am","7am","7:30am","8am","8:30am","9am","10am","11am","12pm","4pm","12am"
1094,64,58,57,141,121,187,192,62,66,52,41,0,22,31
1122,37,79,47,93,159,128,296,77,32,35,36,21,81,1
886,24,44,98,58,49,131,141,130,32,45,0,11,25,98
1001,75,7,24,48,66,136,334,79,62,62,0,0,70,38
1054,32,5,17,99,36,105,186,170,73,18,106,9,72,126
639,34,26,16,54,125,134,19,90,12,69,3,10,28,19
3582,69,135,169,130,270,329,551,403,340,391,226,61,286,222
1932,0,40,40,60,116,302,634,266,92,226,11,14,61,70
3270,1,41,150,141,324,370,618,678,254,313,106,31,132,111
1096,0,25,19,46,108,141,165,95,176,150,22,58,84,7
2109,0,246,75,71,203,167,325,228,111,196,40,0,322,125
2827,11,0,116,154,246,244,427,630,380,323,86,40,120,50
2104,54,88,122,90,114,197,297,244,68,186,147,26,230,241
1491,2,15,39,52,70,104,247,216,135,130,65,26,207,183
1472,17,0,72,42,40,59,160,130,104,228,36,42,273,269
1760,21,0,81,27,83,146,289,281,169,221,99,32,125,186
3454,116,63,200,267,450,437,693,338,247,147,92,61,235,108
1748,78,44,44,107,174,244,380,182,118,75,102,21,81,98
1201,53,56,34,58,156,150,190,115,144,65,19,47,73,41
1502,43,173,65,199,141,277,193,29,56,140,58,15,50,63
1763,11,11,27,28,96,216,111,194,230,203,104,109,259,164
895,0,0,36,2,37,96,70,67,137,86,49,27,167,121
1541,33,62,156,133,161,164,305,169,83,68,18,23,65,101
2090,67,14,10,92,219,255,469,419,182,70,41,28,153,71
1519,0,0,46,77,126,390,303,174,150,148,35,8,21,41
2561,131,16,85,81,370,372,381,293,145,313,121,0,146,107
1613,26,8,88,58,126,262,264,241,94,157,66,17,76,130
2396,0,47,60,153,276,397,399,456,163,108,110,53,139,35
2618,17,83,108,44,294,463,366,367,157,316,155,64,105,79
1950,43,31,109,186,171,245,212,239,95,213,150,42,56,158
1345,34,15,0,107,108,329,252,166,92,157,27,10,27,21
1213,26,18,54,86,61,165,241,180,108,168,70,10,0,26
2883,155,46,187,344,231,347,464,367,162,208,89,24,190,69
913,37,30,9,100,73,201,141,124,44,58,0,0,72,24
2833,16,77,85,417,352,281,487,293,178,276,111,45,122,93
919,19,14,38,128,151,138,94,76,25,78,54,10,94,0
3516,224,46,59,186,452,526,582,364,246,293,195,48,145,150
1541,38,34,48,120,119,292,247,231,93,92,33,48,69,77
2106,181,76,86,123,261,279,180,194,140,154,128,17,149,138
1590,79,49,152,94,214,193,289,149,70,56,12,33,70,130
2085,89,93,86,80,183,316,299,177,95,211,18,12,198,228
2425,115,37,126,235,147,428,543,130,100,201,93,22,144,104
1108,91,77,22,145,101,52,125,51,0,124,58,26,116,120
2773,249,95,72,241,259,544,346,275,105,207,48,44,110,178
2223,127,77,51,198,289,317,281,184,107,203,87,19,118,165
2131,94,75,166,183,321,404,250,329,86,0,39,43,86,55
2396,85,206,238,188,247,151,317,243,119,175,113,64,141,109
2418,309,60,66,146,114,369,224,132,67,129,51,26,350,375
2446,82,69,129,321,278,496,295,83,96,135,82,13,201,166
2301,73,68,85,165,333,618,154,134,192,128,28,23,182,118
1769,70,36,145,143,225,255,68,247,75,70,71,25,171,168
1686,79,120,120,170,193,256,216,57,57,26,35,16,259,82
2946,135,135,161,291,431,435,322,243,238,111,73,33,159,179
3029,73,132,235,381,304,340,256,357,126,160,90,82,156,337
3259,83,65,249,214,453,385,353,322,85,218,128,75,294,335
3106,111,43,123,251,282,595,438,485,254,229,30,0,162,103
1961,14,201,100,125,334,288,113,214,7,133,45,19,166,202
1130,180,116,101,66,169,45,40,0,61,0,37,0,74,241
2321,189,126,122,105,272,293,237,171,154,217,26,40,178,191
1630,104,11,90,170,268,246,160,197,103,73,70,0,36,102
3033,269,46,67,148,499,485,439,379,124,261,198,17,52,49
2304,77,51,110,226,209,346,371,244,166,147,45,16,170,126
2398,95,38,59,279,190,463,323,301,68,236,111,4,14,217
1551,95,49,71,44,362,283,171,81,96,30,62,0,170,37
2090,104,85,133,168,291,314,319,229,52,135,53,31,137,39
1996,91,150,150,190,191,306,250,135,95,105,78,19,117,119
3045,108,90,138,265,279,478,273,304,238,185,144,32,147,364
1666,66,165,98,166,198,263,149,151,112,117,49,9,97,26
1418,138,63,94,255,125,262,59,94,37,147,32,25,55,32
3146,316,154,292,348,470,428,326,133,90,123,73,6,138,249
1577,76,54,156,158,84,376,209,104,78,29,42,0,103,108
2720,79,27,138,273,285,536,397,331,195,124,51,69,135,80
1745,28,39,118,193,205,292,253,145,179,80,30,11,93,79
1826,9,62,100,153,202,319,347,114,24,216,65,76,59,80
1297,63,0,115,65,185,251,193,41,63,101,22,25,84,89
1142,17,45,55,89,115,137,223,121,41,83,20,37,62,97
1387,63,33,115,118,175,174,199,99,70,66,79,40,58,98
1557,81,121,143,144,192,182,198,67,14,52,25,130,76,132
1502,183,29,116,212,135,301,137,103,56,70,80,14,26,40
1231,111,70,29,144,253,231,216,35,25,29,11,0,28,49
1704,26,87,149,214,327,188,124,111,47,48,31,31,146,175
1357,48,32,52,191,218,158,208,160,60,46,55,0,35,94
1460,52,27,121,291,90,175,69,291,21,162,33,0,0,128
2770,278,103,147,386,261,479,178,387,221,96,22,37,62,113
1811,65,91,159,241,188,351,175,199,142,83,0,0,83,34
3184,127,159,180,403,406,451,352,364,116,198,92,58,177,101
1895,114,111,126,161,230,374,181,221,66,65,49,43,97,57
