department,HOLLANDE,SARKOZY,LE PEN,MELENCHON,BAYROU,JOLY,DUPONT-AIGNAN,POUTOU,ARTHAUD,CHEMINADE,HOLLANDE_2,SARKOZY_2
Paris,34.83,32.19,6.2,11.09,9.34,4.18,1,0.67,0.27,0.23,55.6,44.4
Seine-et-Marne,27.65,27.27,19.65,11.01,8.55,1.96,2.18,1.02,0.46,0.26,49.25,50.75
Yvelines,27.32,34.24,12.44,9.11,11.24,2.5,1.73,0.8,0.35,0.28,45.7,54.3
Essonne,30.39,25.46,15.2,12.26,9.33,2.35,3.41,0.94,0.41,0.24,53.43,46.57
Hauts-de-Seine,30.16,34.97,8.51,10.35,10.69,2.74,1.34,0.69,0.3,0.26,49.48,50.52
Seine-Saint-Denis,38.68,19.48,13.55,16.99,6.12,2.21,1.31,0.92,0.51,0.24,65.32,34.68
Val-de Marne,32.93,26.57,11.86,14,8.86,2.63,1.66,0.84,0.38,0.26,56.48,43.52
Val-de Oise,32.41,26.25,15.6,11.95,8.39,2.05,1.7,0.96,0.44,0.25,53.91,46.09
Ardennes,28.93,24.43,24.5,9.28,7.52,1.22,1.81,1.29,0.77,0.24,51.89,48.11
Aube,22.79,30.33,25.12,7.93,8.37,1.41,2.17,1.01,0.61,0.25,42.63,57.37
Marne,24.05,29.87,22.44,8.52,9.5,1.51,2.03,1.19,0.66,0.24,44.69,55.31
Haute-Marne,23.75,27.99,25.26,8.89,7.97,1.38,2.41,1.33,0.79,0.24,45.57,54.43
Aisne,27.1,24.2,26.33,10.19,6.68,1.16,1.96,1.3,0.84,0.25,52.4,47.6
Oise,24.9,26.59,25.08,10.11,7.61,1.51,1.95,1.22,0.78,0.25,47.34,52.66
Somme,28.37,23.9,23.77,11,7.31,1.22,2.02,1.28,0.89,0.22,54.41,45.59
Eure,24.65,27.78,22.75,10.34,8.41,1.66,2.11,1.37,0.65,0.27,47.55,52.45
Seine-Maritime,29.4,25.02,18.9,13.2,7.83,1.63,1.79,1.28,0.71,0.24,54.94,45.06
Cher,26.76,24.96,19.73,13.81,8.84,1.58,2.11,1.22,0.76,0.24,54.04,45.96
Eure-et-Loir,25.71,29.39,20.72,8.96,9.22,1.6,2.24,1.22,0.67,0.26,46.53,53.47
Indre,29.87,24.16,19.55,11.26,8.98,1.45,2.17,1.43,0.86,0.28,55.66,44.34
Indre-et-Loire,28.1,28.24,15.98,10.93,10.27,2.23,2.01,1.28,0.68,0.27,51.23,48.77
Loir-et-Cher,25.01,28.35,20.88,9.85,9.76,1.73,2.14,1.31,0.7,0.26,47.57,52.43
Loiret,25.45,29.31,20.58,9.53,9.31,1.89,2.11,1.01,0.56,0.25,45.97,54.03
Calvados,29.34,27.34,16.22,10.56,10.1,2.13,2.05,1.34,0.66,0.25,53.11,46.89
Manche,27.04,28.82,16.64,9.85,11.2,1.83,2.27,1.35,0.72,0.29,49.9,50.1
Orne,24.26,29.64,20,8.92,10.55,1.79,2.4,1.45,0.74,0.24,47.11,52.89
Côte-d'Or,27.79,28.57,18.84,9.51,9.37,2.1,1.95,1.06,0.56,0.24,48.45,51.55
