lexeme	frequency
W	51004
H	30386
L	20447
B	15768
>T	11016
MN	7681
JHWH/	6828
<L	5870
>L	5521
>CR	5500
KL/	5495
>MR[	5378
L>	5249
BN/	4937
KJ	4483
HJH[	3561
K	2965
MLK/	2703
<FH[	2629
>LHJM/	2601
BW>[	2570
JFR>L/	2514
>RY/	2504
JWM/	2320
>JC/	2186
PNH/	2127
BJT/	2107
NTN[	2017
<M/	1881
JD/	1635
HLK[	1554
DBR/	1441
HW>	1409
<D	1298
R>H[	1298
>B/	1226
ZH	1177
CM<[	1168
DBR[	1138
<JR/	1093
JCB[	1082
DWD==/	1075
<M	1071
JY>[	1069
>M	1068
HNH	1060
CWB[	1037
JD<[	991
>XD/	970
LQX[	965
<JN/	892
<LH[	890
CNH/	883
CM/	876
>NJ	874
CLX[	861
>T==	849
MWT[	835
CM	834
JHWDH/	819
>KL[	817
<BD/	807
>JN/	788
>CH/	781
GM	769
CNJM/	768
MCH=/	766
KHN/	758
NPC/	754
>LH	747
>TH	747
H=	743
QR>[	743
>L=	727
>XR/	718
DRK/	706
MYRJM/	681
JRWCLM/	669
QWM[	664
NF>[	656
>X/	630
R>C/	613
FJM[	609
Z>T	604
CLC/	602
LB/	602
BT/	590
M>H/	587
MH	587
MJM/	582
KH	578
HR/	558
GWJ/	555
KN	554
>DM/	553
<BR[	548
GDWL/	526
<MD[	521
XMC/	506
QWL/	505
TXT/	505
NKH[	500
PH/	498
CB</	496
YWH[	494
>LP=/	492
HJ>	492
JLD[	492
<WD/	491
YB>/	486
QDC/	469
VWB/	469
CMR[	468
>RB</	462
MY>[	453
RB/	448
NPL[	445
<WLM/	438
>DNJ/	438
<TH	433
MJ	423
MCPV/	422
CMJM/	421
FR/	421
TWK/	418
KSP/	416
XRB/	412
BJN/	409
C>WL=/	406
N>	404
MQWM/	401
MZBX/	401
BNH[	398
JM/	398
RWX/	389
ZHB/	389
>C/	381
JRD[	377
N>M/	376
C<R/	374
NGD[	371
DM/	360
>NKJ	359
J<QB/	349
>HRWN/	347
MLK[	347
R</	347
<NH[	346
>HL/	345
DJ	345
SBJB/	336
>DWN/	335
JR>[	332
BRK[	331
<Y/	330
KLJ/	325
>W	320
FDH/	320
NBJ>/	319
<BD[	316
<FRJM/	315
R<H/	313
MLXMH/	308
PQD[	303
M>D/	300
LXM/	299
<T/	297
SWR[	297
LWJ/	296
CLMH=/	293
XV>T/	293
HMH	291
QRB[	290
XZQ[	290
<LH/	289
XJH[	289
KRT[	288
PLCTJ/	288
BBL/	287
BRJT/	284
XDC=/	284
>JB[	283
>TM	283
>BN/	281
>P/	277
CC/	274
PR<H/	274
Y>N/	274
BFR/	273
LM<N	272
MDBR/	270
HM	269
ML>[	263
RC</	262
LBB/	259
>MH=/	255
RGL/	254
MVH/	252
XJL/	251
XSD/	245
XJ/	244
GBWL/	240
N<R/	240
CLWM/	237
XV>[	237
>L/	235
M<FH/	235
<WN/	231
JRC[	231
KTB[	231
ZKR[	231
RBH[	230
ZR</	230
QRB/	228
LJLH/	227
BD/	225
BQC[	225
NXLH/	224
