lexid	lexeme	vocalized	p_o_s	gloss	freq
a	W	וְ	conj	and	51004
b	H	הַ	art	the	30386
c	L	לְ	prep	to	20447
d	B	בְּ	prep	in	15768
e	>T	אֵת	prep	<object marker>	11016
f	MN	מִן	prep	from	7681
g	JHWH/	יהוה	nmpr	YHWH	6828
h	<L	עַל	prep	upon	5870
i	>L	אֶל	prep	to	5521
j	>CR	אֲשֶׁר	conj	<relative>	5500
k	KL/	כֹּל	subs	whole	5495
l	>MR[	אָמַר	verb	say	5378
m	L>	לֹא	nega	not	5249
n	BN/	בֵּן	subs	son	4937
o	KJ	כִּי	conj	that	4483
p	HJH[	הָיָה	verb	be	3561
q	K	כְּ	prep	as	2965
r	MLK/	מֶלֶךְ	subs	king	2703
s	<FH[	עָשָׂה	verb	make	2629
t	>LHJM/	אֱלֹהִים	subs	god(s)	2601
u	BW>[	בֹּוא	verb	come	2570
v	JFR>L/	יִשְׂרָאֵל	nmpr	Israel	2514
w	>RY/	אֶרֶץ	subs	earth	2504
x	JWM/	יֹום	subs	day	2320
y	>JC/	אִישׁ	subs	man	2186
z	PNH/	פָּנֶה	subs	face	2127
ba	BJT/	בַּיִת	subs	house	2107
bb	NTN[	נָתַן	verb	give	2017
bc	<M/	עַם	subs	people	1881
bd	JD/	יָד	subs	hand	1635
be	HLK[	הָלַךְ	verb	walk	1554
bf	DBR/	דָּבָר	subs	word	1441
bg	HW>	הוּא	prps	he	1409
bi	R>H[	רָאָה	verb	see	1298
bh	<D	עַד	prep	unto	1298
bj	>B/	אָב	subs	father	1226
bk	ZH	זֶה	prde	this	1177
bl	CM<[	שָׁמַע	verb	hear	1168
bm	DBR[	דָּבַר	verb	speak	1138
bn	<JR/	עִיר	subs	town	1093
bo	JCB[	יָשַׁב	verb	sit	1082
bp	DWD==/	דָּוִד	nmpr	David	1075
bq	<M	עִם	prep	with	1071
br	JY>[	יָצָא	verb	go out	1069
bs	>M	אִם	conj	if	1068
bt	HNH	הִנֵּה	intj	behold	1060
bu	CWB[	שׁוּב	verb	return	1037
bv	JD<[	יָדַע	verb	know	991
bw	>XD/	אֶחָד	subs	one	970
bx	LQX[	לָקַח	verb	take	965
by	<JN/	עַיִן	subs	eye	892
bz	<LH[	עָלָה	verb	ascend	890
ca	CNH/	שָׁנָה	subs	year	883
cb	CM/	שֵׁם	subs	name	876
cc	>NJ	אֲנִי	prps	i	874
cd	CLX[	שָׁלַח	verb	send	861
ce	>T==	אֵת	prep	together with	849
cf	MWT[	מוּת	verb	die	835
cg	CM	שָׁם	advb	there	834
ch	JHWDH/	יְהוּדָה	nmpr	Judah	819
ci	>KL[	אָכַל	verb	eat	817
cj	<BD/	עֶבֶד	subs	servant	807
ck	>JN/	אַיִן	subs	<NEG>	788
cl	>CH/	אִשָּׁה	subs	woman	781
cm	GM	גַּם	advb	even	769
cn	CNJM/	שְׁנַיִם	subs	two	768
co	MCH=/	מֹשֶׁה	nmpr	Moses	766
cp	KHN/	כֹּהֵן	subs	priest	758
cq	NPC/	נֶפֶשׁ	subs	soul	754
cr	>LH	אֵלֶּה	prde	these	747
cs	>TH	אַתָּה	prps	you	747
cu	QR>[	קָרָא	verb	call	743
ct	H=	הֲ	inrg	<interrogative>	743
cv	>L=	אַל	nega	not	727
cw	>XR/	אַחַר	subs	after	718
cx	DRK/	דֶּרֶךְ	subs	way	706
cy	MYRJM/	מִצְרַיִם	nmpr	Egypt	681
cz	JRWCLM/	יְרוּשָׁלִַם	nmpr	Jerusalem	669
da	QWM[	קוּם	verb	arise	664
db	NF>[	נָשָׂא	verb	lift	656
dc	>X/	אָח	subs	brother	630
dd	R>C/	רֹאשׁ	subs	head	613
de	FJM[	שִׂים	verb	put	609
df	Z>T	זֹאת	prde	this	604
dh	LB/	לֵב	subs	heart	602
dg	CLC/	שָׁלֹשׁ	subs	three	602
di	BT/	בַּת	subs	daughter	590
dk	MH	מָה	prin	what	587
dj	M>H/	מֵאָה	subs	hundred	587
dl	MJM/	מַיִם	subs	water	582
dm	KH	כֹּה	advb	thus	578
dn	HR/	הַר	subs	mountain	558
do	GWJ/	גֹּוי	subs	people	555
dp	KN	כֵּן	advb	thus	554
dq	>DM/	אָדָם	subs	human, mankind	553
dr	<BR[	עָבַר	verb	pass	548
ds	GDWL/	גָּדֹול	adjv	great	526
dt	<MD[	עָמַד	verb	stand	521
du	XMC/	חָמֵשׁ	subs	five	506
dw	TXT/	תַּחַת	subs	under part	505
dv	QWL/	קֹול	subs	sound	505
dx	NKH[	נָכָה	verb	strike	500
dy	PH/	פֶּה	subs	mouth	498
dz	CB</	שֶׁבַע	subs	seven	496
ea	YWH[	צָוָה	verb	command	494
ec	HJ>	הִיא	prps	she	492
ed	JLD[	יָלַד	verb	bear	492
eb	>LP=/	אֶלֶף	subs	thousand	492
ee	<WD/	עֹוד	subs	duration	491
ef	YB>/	צָבָא	subs	service	486
eg	QDC/	קֹדֶשׁ	subs	holiness	469
eh	VWB/	טֹוב	adjv	good	469
ei	CMR[	שָׁמַר	verb	keep	468
ej	>RB</	אַרְבַּע	subs	four	462
ek	MY>[	מָצָא	verb	find	453
el	RB/	רַב	adjv	much	448
em	NPL[	נָפַל	verb	fall	445
en	<WLM/	עֹולָם	subs	eternity	438
eo	>DNJ/	אֲדֹנָי	nmpr	Lord	438
ep	<TH	עַתָּה	advb	now	433
eq	MJ	מִי	prin	who	423
er	MCPV/	מִשְׁפָּט	subs	justice	422
et	FR/	שַׂר	subs	chief	421
es	CMJM/	שָׁמַיִם	subs	heavens	421
eu	TWK/	תָּוֶךְ	subs	midst	418
ev	KSP/	כֶּסֶף	subs	silver	416
ew	XRB/	חֶרֶב	subs	dagger	412
ex	BJN/	בַּיִן	subs	interval	409
ey	C>WL=/	שָׁאוּל	nmpr	Saul	406
ez	N>	נָא	intj	yeah	404
fa	MQWM/	מָקֹום	subs	place	401
fb	MZBX/	מִזְבֵּחַ	subs	altar	401
fc	BNH[	בָּנָה	verb	build	398
fd	JM/	יָם	subs	sea	398
fe	RWX/	רוּחַ	subs	wind	389
ff	ZHB/	זָהָב	subs	gold	389
fg	>C/	אֵשׁ	subs	fire	381
fh	JRD[	יָרַד	verb	descend	377
fi	N>M/	נְאֻם	subs	speech	376
fj	C<R/	שַׁעַר	subs	gate	374
fk	NGD[	נָגַד	verb	report	371
fl	DM/	דָּם	subs	blood	360
fm	>NKJ	אָנֹכִי	prps	i	359
fn	J<QB/	יַעֲקֹב	nmpr	Jacob	349
fo	>HRWN/	אַהֲרֹון	nmpr	Aaron	347
fp	MLK[	מָלַךְ	verb	be king	347
fq	R</	רַע	adjv	evil	347
fr	<NH[	עָנָה	verb	answer	346
ft	DJ	דִּי	prep	<relative>	345
fs	>HL/	אֹהֶל	subs	tent	345
fu	SBJB/	סָבִיב	subs	surrounding	336
fv	>DWN/	אָדֹון	subs	lord	335
fw	JR>[	יָרֵא	verb	fear	332
fx	BRK[	בָּרַךְ	verb	bless	331
fy	<Y/	עֵץ	subs	tree	330
fz	KLJ/	כְּלִי	subs	tool	325
gb	FDH/	שָׂדֶה	subs	open field	320
ga	>W	אֹו	conj	or	320
gc	NBJ>/	נָבִיא	subs	prophet	319
gd	<BD[	עָבַד	verb	work, serve	316
ge	<FRJM/	עֶשְׂרִים	subs	twenty	315
gf	R<H/	רָעָה	subs	evil	313
gg	MLXMH/	מִלְחָמָה	subs	war	308
gh	PQD[	פָּקַד	verb	miss	303
gi	M>D/	מְאֹד	subs	might	300
gj	LXM/	לֶחֶם	subs	bread	299
gk	<T/	עֵת	subs	time	297
gl	SWR[	סוּר	verb	turn aside	297
gm	LWJ/	לֵוִי	adjv	Levite	296
go	XV>T/	חַטָּאת	subs	sin	293
gn	CLMH=/	שְׁלֹמֹה	nmpr	Solomon	293
gp	HMH	הֵמָּה	prps	they	291
gr	XZQ[	חָזַק	verb	be strong	290
gq	QRB[	קָרַב	verb	approach	290
gt	XJH[	חָיָה	verb	be alive	289
gs	<LH/	עֹלָה	subs	burnt-offering	289
gv	PLCTJ/	פְּלִשְׁתִּי	adjv	Philistine	288
gu	KRT[	כָּרַת	verb	cut	288
gw	BBL/	בָּבֶל	nmpr	Babel	287
gy	XDC=/	חֹדֶשׁ	subs	month	284
gx	BRJT/	בְּרִית	subs	covenant	284
gz	>JB[	אָיַב	verb	be hostile	283
ha	>TM	אַתֶּם	prps	you	283
hb	>BN/	אֶבֶן	subs	stone	281
hc	>P/	אַף	subs	nose	277
hf	Y>N/	צֹאן	subs	cattle	274
he	PR<H/	פַּרְעֹה	subs	pharaoh	274
hd	CC/	שֵׁשׁ	subs	six	274
hg	BFR/	בָּשָׂר	subs	flesh	273
hh	LM<N	לְמַעַן	prep	because of	272
hi	MDBR/	מִדְבָּר	subs	desert	270
hj	HM	הֵם	prps	they	269
hk	ML>[	מָלֵא	verb	be full	263
hl	RC</	רָשָׁע	adjv	guilty	262
hm	LBB/	לֵבָב	subs	heart	259
hn	>MH=/	אַמָּה	subs	cubit	255
ho	RGL/	רֶגֶל	subs	foot	254
hp	MVH/	מַטֶּה	subs	staff	252
hq	XJL/	חַיִל	subs	power	251
hr	XSD/	חֶסֶד	subs	loyalty	245
hs	XJ/	חַי	adjv	alive	244
ht	GBWL/	גְּבוּל	subs	boundary	240
hu	N<R/	נַעַר	subs	boy	240
hv	CLWM/	שָׁלֹום	subs	peace	237
hw	XV>[	חָטָא	verb	miss	237
hy	M<FH/	מַעֲשֶׂה	subs	deed	235
hx	>L/	אֵל	subs	god	235
hz	<WN/	עָוֹן	subs	sin	231
ic	ZKR[	זָכַר	verb	remember	231
ia	JRC[	יָרַשׁ	verb	trample down	231
ib	KTB[	כָּתַב	verb	write	231
ie	ZR</	זֶרַע	subs	seed	230
id	RBH[	רָבָה	verb	be many	230
if	QRB/	קֶרֶב	subs	interior	228
ig	LJLH/	לַיְלָה	subs	night	227
ii	BQC[	בָּקַשׁ	verb	seek	225
ih	BD/	בַּד	subs	linen, part, stave	225
ij	NXLH/	נַחֲלָה	subs	heritage	224
il	MW<D/	מֹועֵד	subs	appointment	223
ik	>DMH/	אֲדָמָה	subs	soil	223
im	CTH[	שָׁתָה	verb	drink	222
io	TWRH/	תֹּורָה	subs	instruction	220
in	>M/	אֵם	subs	mother	220
ip	JHWCW</	יְהֹושׁוּעַ	nmpr	Joshua	218
ir	NYL[	נָצַל	verb	deliver	216
iq	KWN[	כּוּן	verb	be firm	216
is	BGD/	בֶּגֶד	subs	garment	215
it	ML>K/	מַלְאָךְ	subs	messenger	215
iw	MXNH/	מַחֲנֶה	subs	camp	214
iu	<ZB[	עָזַב	verb	leave	214
iv	BQR=/	בֹּקֶר	subs	morning	214
ix	NVH[	נָטָה	verb	extend	214
