passage	phrase_text	phrase_gloss	head	attributive	#words_mother	#nouns_mother
Genesis 1:8	JWM #NJ00 	day second	JWM 	#NJ00 	1	1
Genesis 1:13	JWM #LJ#J00 	day third	JWM 	#LJ#J00 	1	1
Genesis 1:16	>T&#NJ HM>RT HGDLJM 	<object marker> two the lamp the great	HM>RT 	HGDLJM 	2	1
Genesis 1:16	>T&HM>WR HGDL LMM#LT HJWM 	<object marker> the lamp the great to dominion the day	HM>WR 	HGDL 	2	1
Genesis 1:16	>T&HM>WR HQVN LMM#LT HLJLH 	<object marker> the lamp the small to dominion the night	HM>WR 	HQVN 	2	1
Genesis 1:19	JWM RBJ<J00 	day fourth	JWM 	RBJ<J00 	1	1
Genesis 1:20	#RY NP# XJH 	swarming creatures soul alive	NP# 	XJH 	1	1
Genesis 1:21	>T&HTNJNM HGDLJM W>T KL&NP# 	<object marker> the sea-monster the great and <object marker> whole soul	HTNJNM 	HGDLJM 	2	1
Genesis 1:23	JWM XMJ#J00 	day fifth	JWM 	XMJ#J00 	1	1
Genesis 1:24	NP# XJH 	soul alive	NP# 	XJH 	1	1
Genesis 1:30	NP# XJH 	soul alive	NP# 	XJH 	1	1
Genesis 2:2	BJWM H#BJ<J 	in the day the seventh	JWM 	H#BJ<J 	2	1
Genesis 2:2	BJWM H#BJ<J 	in the day the seventh	JWM 	H#BJ<J 	2	1
Genesis 2:7	LNP# XJH00 	to soul alive	NP# 	XJH00 	1	1
Genesis 2:13	#M&HNHR H#NJ 	name the stream the second	HNHR 	H#NJ 	2	1
Genesis 2:14	#M HNHR H#LJ#J 	name the stream the third	HNHR 	H#LJ#J 	2	1
Genesis 2:14	HNHR HRBJ<J 	the stream the fourth	HNHR 	HRBJ<J 	2	1
Genesis 2:19	NP# XJH 	soul alive	NP# 	XJH 	1	1
Genesis 3:20	>M KL&XJ00 	mother whole alive	KL&	XJ00 	1	1
Genesis 4:25	ZR< >XR 	seed other	ZR< 	>XR 	1	1
Genesis 6:9	>J# YDJQ TMJM 	man just complete	>J# 	YDJQ TMJM 	1	1
Genesis 7:2	MKL HBHMH HVHWRH 	from whole the cattle the pure	HBHMH 	HVHWRH 	2	1
Genesis 7:8	MN&HBHMH HVHWRH WMN&HBHMH WMN&H<WP WKL 	from the cattle the pure and from the cattle and from the birds and whole	HBHMH 	HVHWRH 	2	1
Genesis 7:11	BXD# H#NJ 	in the month the second	XD# 	H#NJ 	2	1
Genesis 7:11	KL&M<JNT THWM RBH 	whole well primeval ocean much	THWM 	RBH 	1	1
Genesis 7:19	KL&HHRJM HGBHJM 	whole the mountain the high	HHRJM 	HGBHJM 	2	1
Genesis 8:4	BXD# H#BJ<J 	in the month the seventh	XD# 	H#BJ<J 	2	1
Genesis 8:5	<D HXD# H<#JRJ 	unto the month the tenth	HXD# 	H<#JRJ 	2	1
Genesis 8:10	#B<T JMJM >XRJM 	seven day other	JMJM 	>XRJM 	1	1
Genesis 8:11	<LH&ZJT VRP 	leafage olive fresh plucked	ZJT 	VRP 	1	1
Genesis 8:12	#B<T JMJM >XRJM 	seven day other	JMJM 	>XRJM 	1	1
Genesis 8:14	BXD# H#NJ 	in the month the second	XD# 	H#NJ 	2	1
Genesis 8:20	MKL HBHMH HVHWRH WMKL H<WP HVHR 	from whole the cattle the pure and from whole the birds the pure	HBHMH 	HVHWRH 	2	1
Genesis 8:20	MKL HBHMH HVHWRH WMKL H<WP HVHR 	from whole the cattle the pure and from whole the birds the pure	H<WP 	HVHR 	2	1
Genesis 8:21	>T&KL&XJ 	<object marker> whole alive	KL&	XJ 	1	1
Genesis 9:12	BJNJ WBJNJKM WBJN KL&NP# XJH 	interval and interval and interval whole soul alive	NP# 	XJH 	1	1
Genesis 9:15	BJNJ WBJNJKM WBJN KL&NP# XJH 	interval and interval and interval whole soul alive	NP# 	XJH 	1	1
Genesis 9:16	BRJT <WLM BJN >LHJM WBJN KL&NP# XJH 	covenant eternity interval god(s) and interval whole soul alive	NP# 	XJH 	1	1
Genesis 9:24	BNW HQVN00 	son the small	BNW 	HQVN00 	1	1
Genesis 10:12	H<JR HGDLH00 	the town the great	H<JR 	HGDLH00 	2	1
Genesis 10:21	GM&HW> >XJ JPT HGDWL00 	even he brother Japheth the great	>XJ JPT 	HGDWL00 	2	1
Genesis 12:2	LGWJ GDWL 	to people great	GWJ 	GDWL 	1	1
Genesis 12:11	>#H JPT&MR>H 	woman beautiful sight	>#H 	JPT&MR>H 	1	1
Genesis 12:17	NG<JM GDLJM 	stroke great	NG<JM 	GDLJM 	1	1
Genesis 14:18	L>L <LJWN00 	to god upper	>L 	<LJWN00 	1	1
Genesis 14:19	L>L <LJWN QNH #MJM W>RY00 	to god upper create heavens and earth	>L 	<LJWN 	1	1
Genesis 14:20	>L <LJWN 	god upper	>L 	<LJWN 	1	1
Genesis 14:22	>L&JHWH >L <LJWN QNH #MJM W>RY00 	to YHWH god upper create heavens and earth	>L 	<LJWN 	1	1
Genesis 15:9	<GLH M#L#T W<Z M#L#T W>JL M#L# WTR WGWZL00 	cow be three and goat be three and ram, despot be three and dove and young of birds	<GLH 	M#L#T 	1	1
Genesis 15:9	<GLH M#L#T W<Z M#L#T W>JL M#L# WTR WGWZL00 	cow be three and goat be three and ram, despot be three and dove and young of birds	<Z 	M#L#T 	1	1
Genesis 15:9	<GLH M#L#T W<Z M#L#T W>JL M#L# WTR WGWZL00 	cow be three and goat be three and ram, despot be three and dove and young of birds	>JL 	M#L# 	1	1
Genesis 15:12	>JMH X#KH GDLH 	fright darkness great	X#KH 	GDLH 	1	1
Genesis 15:14	BRK# GDWL00 	in property great	RK# 	GDWL00 	1	1
