passage	phrase_text	phrase_gloss	head	attributive	#words_mother	#nouns_mother
Genesis 1:8	יֹ֥ום שֵׁנִֽי׃ פ  	day second	יֹ֥ום 	שֵׁנִֽי׃ פ  	1	1
Genesis 1:13	יֹ֥ום שְׁלִישִֽׁי׃ פ  	day third	יֹ֥ום 	שְׁלִישִֽׁי׃ פ  	1	1
Genesis 1:16	אֶת־שְׁנֵ֥י הַמְּאֹרֹ֖ת הַגְּדֹלִ֑ים 	<object marker> two the lamp the great	הַמְּאֹרֹ֖ת 	הַגְּדֹלִ֑ים 	2	1
Genesis 1:16	אֶת־הַמָּאֹ֤ור הַגָּדֹל֙ לְמֶמְשֶׁ֣לֶת הַיֹּ֔ום 	<object marker> the lamp the great to dominion the day	הַמָּאֹ֤ור 	הַגָּדֹל֙ 	2	1
Genesis 1:16	אֶת־הַמָּאֹ֤ור הַקָּטֹן֙ לְמֶמְשֶׁ֣לֶת הַלַּ֔יְלָה 	<object marker> the lamp the small to dominion the night	הַמָּאֹ֤ור 	הַקָּטֹן֙ 	2	1
Genesis 1:19	יֹ֥ום רְבִיעִֽי׃ פ  	day fourth	יֹ֥ום 	רְבִיעִֽי׃ פ  	1	1
Genesis 1:20	שֶׁ֖רֶץ נֶ֣פֶשׁ חַיָּ֑ה 	swarming creatures soul alive	נֶ֣פֶשׁ 	חַיָּ֑ה 	1	1
Genesis 1:21	אֶת־הַתַּנִּינִ֖ם הַגְּדֹלִ֑ים וְאֵ֣ת כָּל־נֶ֣פֶשׁ 	<object marker> the sea-monster the great and <object marker> whole soul	הַתַּנִּינִ֖ם 	הַגְּדֹלִ֑ים 	2	1
Genesis 1:23	יֹ֥ום חֲמִישִֽׁי׃ פ  	day fifth	יֹ֥ום 	חֲמִישִֽׁי׃ פ  	1	1
Genesis 1:24	נֶ֤פֶשׁ חַיָּה֙ 	soul alive	נֶ֤פֶשׁ 	חַיָּה֙ 	1	1
Genesis 1:30	נֶ֣פֶשׁ חַיָּ֔ה 	soul alive	נֶ֣פֶשׁ 	חַיָּ֔ה 	1	1
Genesis 2:2	בַּיֹּ֣ום הַשְּׁבִיעִ֔י 	in the day the seventh	יֹּ֣ום 	הַשְּׁבִיעִ֔י 	2	1
Genesis 2:2	בַּיֹּ֣ום הַשְּׁבִיעִ֔י 	in the day the seventh	יֹּ֣ום 	הַשְּׁבִיעִ֔י 	2	1
Genesis 2:7	לְנֶ֥פֶשׁ חַיָּֽה׃ 	to soul alive	נֶ֥פֶשׁ 	חַיָּֽה׃ 	1	1
Genesis 2:13	שֵֽׁם־הַנָּהָ֥ר הַשֵּׁנִ֖י 	name the stream the second	הַנָּהָ֥ר 	הַשֵּׁנִ֖י 	2	1
Genesis 2:14	שֵׁ֨ם הַנָּהָ֤ר הַשְּׁלִישִׁי֙ 	name the stream the third	הַנָּהָ֤ר 	הַשְּׁלִישִׁי֙ 	2	1
Genesis 2:14	הַנָּהָ֥ר הָֽרְבִיעִ֖י 	the stream the fourth	הַנָּהָ֥ר 	הָֽרְבִיעִ֖י 	2	1
Genesis 2:19	נֶ֥פֶשׁ חַיָּ֖ה 	soul alive	נֶ֥פֶשׁ 	חַיָּ֖ה 	1	1
Genesis 3:20	אֵ֥ם כָּל־חָֽי׃ 	mother whole alive	כָּל־	חָֽי׃ 	1	1
Genesis 4:25	זֶ֣רַע אַחֵ֔ר 	seed other	זֶ֣רַע 	אַחֵ֔ר 	1	1
Genesis 6:9	אִ֥ישׁ צַדִּ֛יק תָּמִ֥ים 	man just complete	אִ֥ישׁ 	צַדִּ֛יק תָּמִ֥ים 	1	1
Genesis 7:2	מִכֹּ֣ל ׀ הַבְּהֵמָ֣ה הַטְּהֹורָ֗ה 	from whole the cattle the pure	הַבְּהֵמָ֣ה 	הַטְּהֹורָ֗ה 	2	1
Genesis 7:8	מִן־הַבְּהֵמָה֙ הַטְּהֹורָ֔ה וּמִן־הַ֨בְּהֵמָ֔ה וּמִ֨ן־הָעֹ֔וף וְכֹ֥ל 	from the cattle the pure and from the cattle and from the birds and whole	הַבְּהֵמָה֙ 	הַטְּהֹורָ֔ה 	2	1
Genesis 7:11	בַּחֹ֨דֶשׁ֙ הַשֵּׁנִ֔י 	in the month the second	חֹ֨דֶשׁ֙ 	הַשֵּׁנִ֔י 	2	1
Genesis 7:11	כָּֽל־מַעְיְנֹת֙ תְּהֹ֣ום רַבָּ֔ה 	whole well primeval ocean much	תְּהֹ֣ום 	רַבָּ֔ה 	1	1
Genesis 7:19	כָּל־הֶֽהָרִים֙ הַגְּבֹהִ֔ים 	whole the mountain the high	הֶֽהָרִים֙ 	הַגְּבֹהִ֔ים 	2	1
Genesis 8:4	בַּחֹ֣דֶשׁ הַשְּׁבִיעִ֔י 	in the month the seventh	חֹ֣דֶשׁ 	הַשְּׁבִיעִ֔י 	2	1
Genesis 8:5	עַ֖ד הַחֹ֣דֶשׁ הָֽעֲשִׂירִ֑י 	unto the month the tenth	הַחֹ֣דֶשׁ 	הָֽעֲשִׂירִ֑י 	2	1
Genesis 8:10	שִׁבְעַ֥ת יָמִ֖ים אֲחֵרִ֑ים 	seven day other	יָמִ֖ים 	אֲחֵרִ֑ים 	1	1
