passage	phrase_node	phrase_text	phrase_gloss	phrase_function	lexeme	occ_text	occ_node
Genesis 1:1	605135	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	3
Genesis 1:2	605145	RWX >LHJM 	wind god(s)	Subj	>LHJM/	>LHJM 	25
Genesis 1:3	605150	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	33
Genesis 1:4	605158	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	41
Genesis 1:4	605164	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	49
Genesis 1:5	605168	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	59
Genesis 1:6	605184	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	80
Genesis 1:7	605194	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	96
Genesis 1:8	605208	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	126
Genesis 1:9	605220	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	141
Genesis 1:10	605232	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	161
Genesis 1:10	605241	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	175
Genesis 1:11	605246	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	180
Genesis 1:12	605277	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	224
Genesis 1:14	605289	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	237
Genesis 1:16	605309	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	283
Genesis 1:17	605319	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	316
Genesis 1:18	605331	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	348
Genesis 1:20	605343	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	361
Genesis 1:21	605353	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	381
Genesis 1:21	605368	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	410
Genesis 1:22	605374	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	416
Genesis 1:24	605395	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	447
Genesis 1:25	605407	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	468
Genesis 1:25	605418	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	491
Genesis 1:26	605423	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	496
Genesis 1:27	605436	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	535
Genesis 1:27	605439	BYLM >LHJM 	in image god(s)	Adju	>LHJM/	>LHJM 	543
Genesis 1:28	605448	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	554
Genesis 1:28	605452	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	558
Genesis 1:29	605469	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	591
Genesis 1:31	605498	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	655
Genesis 2:2	605518	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	685
Genesis 2:3	605531	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	708
Genesis 2:3	605542	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	724
Genesis 2:4	605549	JHWH >LHJM 	YHWH god(s)	Subj	>LHJM/	>LHJM 	740
Genesis 2:5	605563	JHWH >LHJM 	YHWH god(s)	Subj	>LHJM/	>LHJM 	765
Genesis 2:7	605579	JHWH >LHJM 	YHWH god(s)	Subj	>LHJM/	>LHJM 	793
Genesis 2:8	605592	JHWH >LHJM 	YHWH god(s)	Subj	>LHJM/	>LHJM 	817
Genesis 2:9	605604	JHWH >LHJM 	YHWH god(s)	Subj	>LHJM/	>LHJM 	834
Genesis 2:15	605663	JHWH >LHJM 	YHWH god(s)	Subj	>LHJM/	>LHJM 	947
Genesis 2:16	605673	JHWH >LHJM 	YHWH god(s)	Subj	>LHJM/	>LHJM 	964
Genesis 2:18	605692	JHWH >LHJM 	YHWH god(s)	Subj	>LHJM/	>LHJM 	998
Genesis 2:19	605703	JHWH >LHJM 	YHWH god(s)	Subj	>LHJM/	>LHJM 	1014
Genesis 2:21	605734	JHWH >LHJM 	YHWH god(s)	Subj	>LHJM/	>LHJM 	1080
