passage	phrase_node	phrase_text	phrase_gloss	phrase_function	lexeme	occ_text	occ_node
Genesis 1:1	605135	אֱלֹהִ֑ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֑ים 	3
Genesis 1:2	605145	ר֣וּחַ אֱלֹהִ֔ים 	wind god(s)	Subj	>LHJM/	אֱלֹהִ֔ים 	25
Genesis 1:3	605150	אֱלֹהִ֖ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֖ים 	33
Genesis 1:4	605158	אֱלֹהִ֛ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֛ים 	41
Genesis 1:4	605164	אֱלֹהִ֔ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֔ים 	49
Genesis 1:5	605168	אֱלֹהִ֤ים ׀ 	god(s)	Subj	>LHJM/	אֱלֹהִ֤ים ׀ 	59
Genesis 1:6	605184	אֱלֹהִ֔ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֔ים 	80
Genesis 1:7	605194	אֱלֹהִים֮ 	god(s)	Subj	>LHJM/	אֱלֹהִים֮ 	96
Genesis 1:8	605208	אֱלֹהִ֛ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֛ים 	126
Genesis 1:9	605220	אֱלֹהִ֗ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֗ים 	141
Genesis 1:10	605232	אֱלֹהִ֤ים ׀ 	god(s)	Subj	>LHJM/	אֱלֹהִ֤ים ׀ 	161
Genesis 1:10	605241	אֱלֹהִ֖ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֖ים 	175
Genesis 1:11	605246	אֱלֹהִ֗ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֗ים 	180
Genesis 1:12	605277	אֱלֹהִ֖ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֖ים 	224
Genesis 1:14	605289	אֱלֹהִ֗ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֗ים 	237
Genesis 1:16	605309	אֱלֹהִ֔ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֔ים 	283
Genesis 1:17	605319	אֱלֹהִ֖ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֖ים 	316
