FJM[ NTN[
JDDWT/ -2.47 -5.477
R>WBN/ -2.357 1.723
GD==/ -2.357 1.723
SP=/ -2.249 -4.96
CMCWN/ -1.974 -6.157
M>KL/ -1.856 -6.292
BJNH/ -1.841 0.661
M<RB=/ -1.816 1.077
ZKRJHW/ -1.733 -2.381
PSX/ -1.733 -2.381
BQC[ -1.723 -6.293
FN>[ -1.622 -4.191
>RGB/ -1.566 0.855
JRKH/ -1.487 0.891
QWB</ -1.48 0.401
MCMRT/ -1.324 -4.762
nif -1.263 -3.806
F<RH/ -1.226 0.59
HDS/ -1.158 1.163
PRT/ -1.153 0.329
MW>B/ -1.145 -2.235
XRB[ -1.126 -3.945
NZJR/ -1.101 0.667
SRR[ -1.096 0.38
BLJ/ -1.063 -1.031
>JN/ -1.063 -1.031
TQWH/ -1.021 0.885
MDRK/ -1.002 0.913
JRMJHW/ -1 0.98
CM<WN/ -0.977 0.471
CKR=/ -0.969 -2.703
MCQWP/ -0.966 0.179
KN<N/ -0.957 0.502
CRT[ -0.952 -1.754
ZNH[ -0.938 -0.087
CMMH=/ -0.93 1.002
DPJ/ -0.92 1.496
MGR<WT/ -0.905 -0.174
XLQH/ -0.898 0.853
TCW<H/ -0.897 0.501
XSD/ -0.891 0.474
MKLT/ -0.88 -0.105
<FR/ -0.871 1.201
NGP[ -0.869 -2.316
>LH=/ -0.859 -2.202
<BR/ -0.853 0.489
MPTX/ -0.842 0.977
>WYR/ -0.841 -1.908
MWL/ -0.835 -0.319
YMD/ -0.824 0.373
<L/ -0.823 0.173
BZZ[ -0.818 -2.071
MVMN/ -0.812 1.216
CNH=/ -0.808 0.705
>XCWRWC/ -0.801 0.603
CQL/ -0.797 0.687
XGWRH/ -0.792 1.421
QHLH/ -0.778 -0.084
C>RJT/ -0.767 -2.093
>RK=/ -0.767 1.187
JRD[ -0.747 1.611
YXJX/ -0.746 0.985
QY/ -0.743 0.513
QBH/ -0.737 0.544
CQV/ -0.736 0.928
MLKWT/ -0.734 0.462
>DRKWN/ -0.728 -0.422
SHR/ -0.721 0.285
>RB</ -0.716 0.766
MCMH/ -0.71 0.502
R</ -0.71 0.604
MGDNWT/ -0.705 1.293
GLWLJM/ -0.697 0.484
hif -0.693 -2.492
>PH/ -0.687 0.258
QRS/ -0.678 0.987
TBH/ -0.676 -0.353
XWMH/ -0.669 0.991
CKBT/ -0.668 0.462
CWQ/ -0.661 -1.297
LBWC/ -0.649 0.96
TMNT-SRX/ -0.642 0.668
XN/ -0.63 0.528
TN/ -0.624 0.73
KWCN-RC<TJM/ -0.621 0.633
KWS/ -0.621 0.801
NQJ/ -0.617 0.082
<RP/ -0.611 -1.158
CLXN/ -0.61 -0.185
MFKJT/ -0.606 0.47
PRD/ -0.603 0.4
ZK/ -0.603 0.305
MDW< -0.601 0.174
NQMH/ -0.592 1.231
RQ -0.586 0.506
<FRJM/ -0.578 -0.089
CBH[ -0.573 -0.253
M>WM/ -0.572 0.579
PTXWN/ -0.569 0.315
<WP/ -0.562 0.529
GRZJM/ -0.56 -0.221
MV</ -0.56 0.328
CLM=/ -0.558 -0.26
>RZ/ -0.557 0.727
C<R/ -0.555 0.74
ZR<[ -0.546 -0.848
VB<T/ -0.541 0.666
JR>H/ -0.54 0.058
PLGC/ -0.539 -0.137
ML>KH/ -0.533 -1.349
LXJ/ -0.532 0.187
Y>N/ -0.531 0.517
ZMH/ -0.531 0.151
KRWB/ -0.526 1.499
MCKN/ -0.524 -0.135
YPWN/ -0.519 0.879
>ZN/ -0.514 0.57
SM/ -0.512 0.777
MSWH/ -0.508 0.629
<BDH/ -0.505 -0.089
>L<ZR/ -0.505 -0.332
JXJ>L/ -0.492 -0.134
CVR[ -0.486 0.299
VM>/ -0.483 0.435
KPRT/ -0.474 0.734
<ZBWNJM/ -0.47 -0.004
VHR[ -0.467 -1.065
hit -0.467 -1.065
<NC/ -0.467 -0.221
J>R/ -0.467 1.108
BJN/ -0.461 0.464
MKJR/ -0.459 0.744
XNH/ -0.457 -0.299
T>NH/ -0.455 -0.185
>DNJ/ -0.455 0.154
XRB=/ -0.452 0.304
KWC/ -0.452 0.304
MGDL-SWNH/ -0.452 0.304
TC</ -0.451 1.692
XZQ/ -0.446 0.235
KLW>/ -0.443 0.16
MWQC/ -0.442 0.786
DJQ/ -0.442 0.357
FMXH/ -0.436 0.678
CJR/ -0.433 0.528
XNJNH/ -0.431 -0.301
MWRG/ -0.429 -0.201
ZKRWN/ -0.428 0.02
Y<N/ -0.422 0.105
<DR/ -0.419 0.486
NRD/ -0.419 -0.005
QYH/ -0.416 0.468
VBX=/ -0.413 0.741
