book,chapter,verse,sentence#,clause#,lex,status,sense_label,sense,action_status,action,#dos,#pdos,#sdos,#inds,#locs,#cpls,text
Genesis,1,17,46,1,NTN[,,1l,place [3|&~them:mm] ... [5|in firmament the heavens],!,,1,0,1,0,1,1,[1|WA] [2|J.IT.;n ] [3|>OT@m ] [4|>:ELOHIJm ] [5|B.IR:QIJ<A HAC.@M@JIm ]
Genesis,1,29,83,1,NTN[,,1i,give [4|& whole herb and & whole the tree] to [3|to~you:mm],!,,1,0,1,1,0,0,[1|HIN.;H ] [2|N@TAT.IJ ] [3|L@KEm ] [4|>ET&K.@L&<;FEB 05 W:>ET&K.@L&H@<;y ]
Genesis,3,6,17,1,NTN[,,0i,produce for; yield for; give to [3|even to man~her],!,,0,0,0,1,0,0,[1|WA] [2|T.IT.;n ] [3|G.Am&L:>IJC@H. ] [4|<IM.@H. ]
Genesis,3,12,37,2,NTN[,wrn,0c,produce; yield; give [3|company~me],?,[3|company~me] taken as extra direct object besides ,0,0,0,0,0,1,[1|>:ACER ] [2|N@TAT.@H ] [3|<IM.@DIJ ]
Genesis,3,12,37,3,NTN[,wrn,0c,produce; yield; give [4|from the tree],?,[4|from the tree] taken as extra direct object besides ,0,0,0,0,0,1,[1|HIW> ] [2|N@T:N@H&] [3|L.IJ ] [4|MIn&H@<;y ]
Genesis,4,12,39,2,NTN[,,1i,give [2|strength~her] to [3|to~you:m],!,,1,0,1,1,0,0,[1|T.;T&] [2|K.OX@H. ] [3|L@k: ]
Genesis,9,3,9,1,NTN[,,2,make  (to be (as)/to become/to do) [1|as greens herb] [4|& whole],!,,2,0,2,1,0,0,[1|K.:JEREQ <;FEB ] [2|N@TAT.IJ ] [3|L@KEm ] [4|>ET&K.OL00
]
Genesis,9,12,26,2,NTN[,wrn,0c,produce; yield; give [4|interval~me and interval~you:mm and interval whole soul alive],?,[4|interval~me and interval~you:mm and interval whole soul alive] taken as extra direct object besides ,0,0,0,0,0,1,[1|>:ACER&] [2|>:ANIJ ] [3|NOT;n ] [4|B.;JNIJ W.B;JN;JKEm W.B;Jn K.@L&NEPEC XAJ.@H ]
Genesis,9,13,27,1,NTN[,,1l,place [1|& bow~me] ... [3|in the cloud],!,,1,0,1,0,1,1,[1|>ET&QAC:T.IJ ] [2|N@TAT.IJ ] [3|B.E<@N@n ]
Genesis,12,7,20,1,NTN[,,2,make  (to be (as)/to become/to do) [1|to seed~you:m] [3|& the earth the this],!,,2,0,2,0,0,0,[1|L:ZAR:<:Ak@ ] [2|>ET.;n ] [3|>ET&H@>@REy HAZ.O>T ]
Genesis,13,15,31,3,NTN[,,1i,give [2|give~her] to [1|to~you:m],!,,1,0,1,1,0,0,[1|L:k@ ] [2|>ET.:NEN.@H ]
